url,title,year,month,film,season,platform,comment
16-spring-2020-tv-shows-with-lgbtq-women-characters-to-anticipate-or-enjoy-or-whatever-you-need-right-now,15 Spring 2020 TV Shows With LGBTQ+ Women Characters To Anticipate or Enjoy or Whatever You Need Right Now,2020,5,Snowpiercer,1,TNT,"NewNowNext seems to think this show will have “a lot more sexual fluidity” than we saw in the film (directed by Parasite‘s Bong Joon-ho), and at around 2:04 in the trailer that perpetual dream of ours appears to be coming true. Set in a frigid, post-apocalyptic future aboard a constantly moving train, Snowpiercer sees class differences play out amongst 1,001 cars that are home to the remainder of Earth’s population."
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,5,Vida,2,Starz,"The most important tenets of Vida‘s phenomenal first season remain the same — Tanya Saracho has no interest in answering questions easily. She doesn’t want queerness that can be explained away by Merriam-Webster or a college Gender Studies 101 class. She has no use for gentrification that can be reduced into a simple “us vs them” narrative. What would even be the point of sisters who love each other without baggage? Vida is messy, perhaps even more so than it was in Season One, if that’s possible. — Carmen"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,5,She’s Gotta Have It,2,Netflix,"What’s merciful about Season Two of She’s Gotta Have It is that, for once, Spike Lee loosens his grip just enough to let a black woman character speak for herself. She’s given wide space to selfishly explore her own desires and responsibilities on no one’s terms but her own. This iteration of Nola Darling is finally, and sublimely, allowed to step into the light of summer. — Carmen"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,5,State of Pride,,Youtube,"The filmmakers behind this incredible documentary traveled to Salt Lake City, San Francisco and Tuscaloosa, Alabama, to interview a diverse group of LGBTQ people and obtain “an unflinching look at LGBTQ Pride, from the perspective of a younger generation for whom it still has personal urgency.”"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,5,When They See Us,0,Netflix,"Ava DuVernay’s four part miniseries chronicles the harrowing story of the Central Park Five: five young men arrested, tried and convicted — first in the media, then in the court system — for a crime that they did not commit. Among the critically acclaimed cast is Isis King who plays Marci Wise, the trans sister of Korey Wise, the eldest of the Central Park Five. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Burden of Truth,2,the CW,"The Canadian import, Burden of Truth spent its first season focused on the poisoning of a group of girls by the local steel mill and the legal effort to win restitution. By the season’s end, the case had been won and the show’s adorable baby gays, Molly and Luna, were off to get their first glimpse of the Pacific Ocean (with $2M in Molly’s pocket). It seemed like a tidy ending but, apparently the CBC/CW can’t get enough of Kristin Kreuk, so we’re in for an exciting second season. This time, Kreuk’s Joanna is up against a tech giant who’s using a former employee’s coding for weaponry…but later she gets roped into a case that could change Luna’s life forever. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,The Handmaid’s Tale,3,Hulu,"Season Three of this dark masterpiece will see June become increasingly radicalized while grappling for potential allies — or enemies — in her immediate landscape. Serena Joy? Commander Lawrence? Who can say! Oh and FYI, Aunt Lydia survived the knife attack, Samira Wiley will be back, and I’d like to pre-emptively assume June and Serena Joy will again win the Series Sexual Tension Award. — Riese"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Grown-Ish,2,Freeform,"We were already all in on this pitch-perfect half-hour of socially conscious television that never takes itself too seriously before they brought back Shane as a Women’s Studies teacher, but now that Naomi’s not her student anymore, the back half of Season Two will be particularly enticing to a very specific subset of the queer community. — Riese"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Armistead Maupin’s Tales of the City,1,Netflix,"Forty years ago, Armistead Maupin began writing Tales of the City as serialized short stories in the San Francisco Chronicle and the San Francisco Examiner. Ultimately, those stories became nine books, the first few of which PBS and Showtime adapted into a TV miniseries starring Laura Linney and Olympia Dukakis in the ’90s. This year, Netflix is launching a sequel helmed by Orange Is the New Black‘s Lauren Morelli and starring Ellen Page as Linney’s character’s daughter. The entire thing is gayer than a Pride parade. There are lesbians and bisexuals and gay men and trans people and non-binary people and drag queens and queer poly couples and an entire flashback episode starring Jen Richards and Daniela Vega. The writers’ room was also 100% queer. Look for a full review, an interview with Lauren Morelli, and a big roundtable with intersecting queer identities discussing the series right here on Autostraddle dot com. — Heather"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,XY Chelsea,,Showtime,"Shot over two years and featuring exclusive interviews and behind-the-scenes verité with Chelsea Manning, XY Chelsea tells the story of the whistle-blower starting from her release from prison in May 2017, exploring her position on national security and trans rights and visibility."
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Claws,3,TNT,"Sometimes the silence just gets to be too much. Such was the case for Quiet Ann in Season 2 of Claws. After one setback after another, Quiet Ann finally spoke up: creating friction at first but, ultimately, forging a deeper connection with women she calls her crew. Now, with their issues resolved, Ann and the ladies of Nail Artisans of Manatee County are moving on up. Thanks to Desna’s short-lived marriage and the “untimely” death of their Russian mob boss, Ann and the girls are taking over: running the salon, the pill mill and a brand new casino. With a chance to “level up” finally within their grasp, can Ann finally find the happiness — and the girlfriend — that she’s dreamt of for so long? — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Big Little Lies,2,HBO,"Despite its frustrating inability to deliver even the subtle lesbian action we deserve from this ensemble, Mommi lovers are unable to resist the siren songs sung from these Monterrey shores. Season Two sees the return of the entire main cast for a deft exploration of the aftermath of trauma and will introduce Perry’s grieving mother, played by Meryl Streep, searching for answers to who killed her shitbag son. A woman is taking the helm this season — Andrea Arnold, whose prior work includes I Love Dick, Transparent, and Sasha Lane’s debut film American Honey — will direct all seven episodes. The season promises to explore “the malignancy of lies, the durability of friendships, the fragility of marriage and of course, the vicious ferocity of sound parenting.”"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Pose,2,FX,"Season Two time-jumps to 1990, at the peak of the AIDS crisis, on the day Madonna’s single “vogue” was released, thus putting the ballroom scene in the spotlight. Bisexual comedian Sandra Bernhard returns as a nurse, and activist groups like ACT UP will show up. Pose radiates, breaking ground with every stylized walk on top of it, wrapping universal messages about chosen family and community into stories never before told on such a prominent platform."
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Queen Sugar,4,OWN,Because we remember that Nova Bordelon is supposed to be pansexual even if the show’s forgotten. #GiveNovaAGirlfriend2k19 — Natalie
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Younger,6,TV Land,"Last year, Viacom Media announced that Younger would be moving from its original home on TV Land to its sibling Paramount Network but then — presumably after realizing that Heather’s definitely not the only person that watches this show — TV Land opted to keep the show for its sixth season. The show will have a new feel now that Hilary Duff’s in charge of everything and Charles and Liza are trying to make their relationship work. The important news, though? Maggie’s getting a girlfriend! Evie Roy Nicole Ari Parker is joining Younger to play Maggie’s love interest in a multi-episode arc. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Trinkets,1,Netflix,"Based on the young adult novel by Kirsten Smith, Trinkets is the story of three teenage girls who’d probably never interact with each other but for the Shoplifter’s Anonymous meetings they’re all forced to attend. According to Netflix: “Elodie — the grieving misfit, Moe — the mysterious outsider, and Tabitha — the imperfect picture of perfection, will find strength in each other as they negotiate family issues, high school drama and the complicated dilemma of trying to fit in while longing to break out.” Aside from the intriguing premise, there are two other things that might make it relevant to your interests: 1. queer characters (!!) and 2. queer characters played by actual queer actresses (Brianna Hildebrand and Kat Cunningham, respectively). — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Marvel’s Jessica Jones,3,Netflix,"The debut of the third season of Jessica Jones marks the end of the Marvel era with Netflix. Unlike the other MCU shows though, whose cancellations came abruptly after their new seasons debuted, Jessica Jones will get the send-off our raven-haired hero deserves. Before she can say good-bye, though, there’s still work to be done: she and her former BFF, Trish Walker, will have to put aside their grievances — recall, Trish killed Jessica’s mom last season — to work together and take down a “highly intelligent psychopath. After recklessly grappling with her ALS diagnosis last season (and getting burned in the process), Jeri Hogarth is trying to get her swagger back. She’s opened up her own law firm and put Pryce and Malcolm on her payroll. If history’s any guide, Jeri’s definitely going to be stirring some shit up. — Natalie »"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Euphoria,1,HBO,"Trans model Hunter Schafer plays a trans character in this Skins-esque remake of the Israeli original, starring Zendaya in a trippy sex-drugs-and-adolescence drama. In an interview with Dazed Digital, Hunter said that despite being skeptical of a white cis male showrunner considering the material, “a lot happened in those first four episodes that I, as a transfeminine person and a queer person, really identify with.” — Riese"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,The Good Fight,1,CBS,"In a recent column, Michelle Goldberg called The Good Fight “the only TV show that reflects what life under Trump feels like for many of us who abhor him.” Unfortunately, because the show’s restricted to the network’s subscription service, “many of us who abhor him” haven’t been able to watch the show, but this summer, The Good Fight is coming to broadcast television. CBS will air the first season and everyone can enjoy the best show of the resistance. And as a bonus, we’ve got Dorothy Snarker recaps from season one to supplement your viewing. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Good Trouble,2,Freeform,"We tuned into Good Trouble back in January to watch the Adams-Foster sisters start their professional lives but it didn’t take long before we got wrapped in all the drama of the “intentional living space” that they now call home. When the show returns for its second season, Mariana’s balancing a new relationship and a new dynamic at work, Davia’s balancing old desires with new interests, Callie and Malika are awaiting the outcome of the Jamal Thompson case and Alice is grappling with her new reality as an out gay woman. And maybe, if we’re lucky, we’ll get another visit from the Mamas too. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,The Lavender Scare,,PBS,"The little-known story of the unrelenting campaign by the general government to identify and fire people who seemed possibly gay, narrated by Glen Close and featuring the voices of noted homosexuals Cynthia Nixon, Zachary Quinto, T.R. Knight and David Hyde Pierce."
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Black Mirror,,Netflix,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,FIFA Women’s World Cup,,Fox,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,The Tony Awards,,CBS,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Ackley Bridge,,Channel 4,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,6,Years and Years,,HBO,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Harlots,3,Hulu,"Charlotte Wells is forced to take over the brothel in her mother’s absence while Lydia Quigley rots in jail and some new entrepreneurs in town angle to open up a “Molly House” in her prior evirons. Season Two got much gayer than Season One, and you can expect Season Three to do the same for racial diversity. Harlots reliably reveals the soft underbelly of what is often a very difficult life: the respite of chosen family and the intensity of those bonds, more genuinely rewarding and life-sustaining than those that unite sin-soaked, supremacist brotherhoods. — Riese"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Siren,2,Freeform,"The second half of Siren‘s second season picks up where the first half left off: the mermaids have returned to the sea, while Ben and Maddie are left on land to face the consequences of the attack on the oil rig. On top of that, Ben and Maddie are melancholy without Ryn, the missing third of their throuple. Thankfully Ryn returns back to land to follow through on an agreement she made with the military so Valerie’s #hornyformermaids campaign can continue, unabated. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Sweetbitter,2,Starz,"Adapted from the bestselling novel from Stephanie Danler, Sweetbitter is a look at the 2006 New York culinary scene through the eyes of an ingénue named Tess…who definitely gives off season one of The L Word Jenny Schetcher vibes, right down to the black trash bags she carries into her Willamsburg apartment. Working at Sweetbitter, Tess meets Ari who, if we’re keeping the L Word parallels going, is a mix of Shane, Carmen with a dash of Marina; in other words, she’s a no-nonsense server at Sweetbitter by day and an adventurous lesbian DJ by night. According to Ari’s portrayer, Eden Epstein, the second season will delve more into Ari’s sex life. The second season will also add a bit more queer to the cast: as the imitable Sandra Bernhard joins the cast this summer as Maddie Glover, the owner of Sweetbitter, who once ran things in the kitchen before stepping away to launch a global food empire. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Light as a Feather,2,Hulu,"When it debuted, Light as a Feather seemed perfectly timed: the series, which Valerie described as Pretty Little Liars-esque, with a touch of The Craft and Final Destination, dropped right in the middle of October…the exact time of year, audiences are craving spooky fair. So I’m not sure what it says about Light as a Feather‘s second season that its debuting in July instead; have we traded in scary for heat? Details are scant on season 2, thus far, particularly as it relates to the show’s lesbian character Alex Portnoy, but we do know that McKenna’s inherited the curse brought on by the titular game. The chrysalis on her back attempts to lure her back to the game but McKenna refuses until the situation becomes untenable. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Orange is the New Black,7,Netflix,"Orange takes its final bow this summer. So far all we’ve got is a lil clip of many beloved characters singing the theme song in their head voices — but from that alone, it seems Flaca and Maritza could be returning. At Season Six’s end, Taystee took the fall for a murder she didn’t commit and Piper found herself granted early release, directly after marrying Alex. It’ll be a doozy, but I know I’ll be glued to my television the whole damn weekend. — Riese"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,She-Ra and the Princesses of Power,3,Netflix,"When season two of She-Ra landed on Netflix, Heather noted, “there’s less implicit queerness than season one. But also: There’s more explicit queerness than season one. Way more!” So if the trend holds, the show’s third season will be extra gay. Fingers crossed! One thing we do know about She-Ra‘s third season: it’ll feature the debut of Huntara, the Salaxian bounty hunter from the original series. In the Netflix version of She-Ra, Huntara’s the leader of the Crimson Waste who’s reluctant to help Adora, Glimmer, and Bow on a quest. And, if that wasn’t cool enough: Huntara’s being voiced by Oscar winner, Geena Davis. — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,G.L.O.W.,3,Netflix,"The Gorgeous Ladies of Wrestling are back for their third season and now they’re headliners at the Fan-Tan Hotel and Casino in Las Vegas. Everyone soon realizes that everything that glitters ain’t gold…and their residency in Sin City turns out to be more complicated than they anticipated. The Netflix logline also says that in season three “the cast find themselves struggling with their own identities both in and outside of the ring,” which sounds suspiciously like the tropes that Riese warned about in her season two conversation with Heather. Can’t Arthie and Yolanda be happy for a while? — Natalie"
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Legion,,FX,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Pearson,,USA,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Killjoys,,SyFy,Other dates that might be relevant to your interests:
27-summer-2019-tv-shows-for-queers-to-watch-out-for,27 Summer 2019 TV Shows For Queers To Watch Out For,2019,7,Veronica Mars,,Hulu,Other dates that might be relevant to your interests:
a-gay-girls-guide-to-fall-2013-television-196326,A Gay Girl’s Guide To Fall 2013 Television,2013,9,The Good Wife,5,CBS,"It’s The Good Wife’s fifth season, and everybody’s wondering what’ll happen next for Alicia and Cary’s plan to ditch Lockhart/Gardner and start their own firm. Others are wondering what’ll happen next for Kalinda w/r/t making out with girls — and there’s good news on that front! Juliet Rylance is joining the Season Five cast as Kalinda’s new love interest Holly, “a whip-smart Assistant State’s Attorney who shares a past with Kalinda.” Also of interest to women who love bossy women: Stockard Channing will reprise her role as Alicia’s Mom."
a-gay-girls-guide-to-fall-2013-television-196326,A Gay Girl’s Guide To Fall 2013 Television,2013,,The Masters of Sex,1,Showtime,"It’s the story of a lovely lady who was associated with a very lovely man, and the two of them decided to start doing human sexuality research, and that’s how they became The Masters of Sex! Based on the true story of sex research pioneers William Masters and Virginia Johnson, this show stars Lizzy Caplan as Virginia, “a club singer-turned-orgasm-expert.” History! Sex! Women’s sexuality! Feminism! Our Verdict: Lizzy Caplan, women’s history, and sex research? We’re in."
a-gay-girls-guide-to-fall-2013-television-196326,A Gay Girl’s Guide To Fall 2013 Television,2013,10,The Witches of East End,1,Lifetime,"Based on the books by Melissa de la Cruz (I assumed it was based on The Witches of Eastwick, but I guess I’m behind the times), The Washington Post gives this lady-laden program a “C,” describing it as “it’s almost as if “True Blood” tried to conceive a demon baby with “Bunheads.” Seems about right. Our Verdict: Will almost definitely be terrible."
a-gay-girls-guide-to-fall-2013-television-196326,A Gay Girl’s Guide To Fall 2013 Television,2013,9,Mom,1,CBS,"We’re supposed to be really pumped about this show, because it stars Anna Faris, and Anna Faris is a lady. It also features Alison Janey, and we all love Alison Janey. But every time that laugh track elbows its way into my earspace, I ask myself, “is this show really for me? Or is it for people who aren’t total bitches and therefore can tolerate laugh tracks?” The premise is that Anna Faris’s character, Christy, is a newly-sober single mom of two, and her mother (played by Janey) is a recovering alcoholic, and Christy is dating her boss at the restaurant where she waits tables. Also her teenage daughter is rebellious. The New York Times admits that Mom is both “wittier and sweeter” than the new FOX show Dads (a Seth McFarlane production that follows two Dads who move in with their sons) as well as “genuinely provocative.” Why is this show so much better than Dads? “Moms behaving badly aren’t a new thing, but on a prime time show, it still feels a little transgressive. Men who act like boys, on the other hand, are so familiar that they’re almost retro.” There you have it. Our Verdict: This really could go either way. https://www.youtube.com/watch?v=vlVG3EY35os"
